text,cluster_id,topic
  This segment added later It appears as though Ford is FINALLY coming to terms on its SUV line  They admitted that their SUV s were not as safe and environmentally friendly as they should be and will take steps to make them safer for the occupants  other drivers and the environment  Another interesting twist  Ford JUST THIS WEEK decided to reduce production of Excursion by 25  That is not a small percentage  I saw this happening long ago  This is the first step in dropping the line all together  Any guesses on the value of the Excursion you just bought when that happens  Maybe William Ford Jr read my Epinion and decided to take action All I know is there is one more company to add to my DO NOT BUY STOCK list The purpose of Epinions is to post an opinion that may help someone make or not make a purchase  I hope my opinion will prevent someone from purchasing an Excursion  I don t own one  and wouldn t  I m not sure if I d even test drive one  I haven t yet anyway  This shouldn t detract from my view however  For example one need not be a Cuban or Cuban American to have an opinion on Elian and whether he should go home or stay here  Opinions are after all one sided  Some will agree with me  some will not  Personally  I take the stand of I really don t care if you buy an Excursion or not  but if you do buy one take responsibility for what may happen High gas prices  tough  Kill or injure someone in an accident  gt  GO TO JAIL  do not pass go  do not collect  200  Ford shouldn t have built it in the first place  The managers at Ford should have looked a little further than  quot today quot  to analyze buying trends  Especially ones set by Texans  we as a group are statistically not the smartest of the bunch  I just live here  was born in Indiana  Traditionally  all new trucks are tested and marketed in Texas first  Instead of building the biggest on the block  they could have made a different statement  Ford has done this many times and always looses their shorts on it  To this end they should have realized that fuel prices couldn t be cheap forever  infact it should be at least  2 00 a gallon anyway  We ve been spoiled by cheap gas that the automakers don t market fuel efficient vehicles here  but yet you can buy several cars that get 50  mpg in Europe  Even the Suburban  which is still not great  claims to get 18 mpg on the highway much higher than the estimates of around 10 12 the dealers tell of  In the Dallas Fort Worth area  dealers are offering more than  5000 off on them  which means that they aren t selling them  Within 2 years I don t think the Excursion will be built any longer  Excursions don t have to post gas mileage at all  They don t have to even conform with EPA regulations  And by stating that is it a LEV  low emission vehicle  must be a comparison to a coal burning power plant  There is no way you can burn so much fuel and produce as much pollution as a Honda  come on The Excursion s gas mileage doesn t even bother me that much  Heck  not too long ago  I owned a 1974 Cadillac HEARSE  yes it had dead people in it at one time  It only got 7 miles per gallon  I not once complained about it  What irritates me is the people whining about fuel prices who do drive these vehicles  When ever there is something on the news about gas prices there is ALWAYS someone griping but has a big ole truck My BIG issue is the safety issue  Clearly these trucks are dangerous to other cars  The automakers just last month publicly recognized this fact and are making steps to prevent deaths  Why couldn t they have done this earlier  I could care less if a stupid person kills them self  in any vehicle  but when they kill someone else that really bothers me  Especially so when they purchase a vehicle that they are not capable of driving unfortunately this is many times  quot soccer moms quot  They want a sense of security and safety  They have an Excursion full of arguing kids  they have an added distraction of a cell phone and other stuff  Yes  they are completely safe to its occupants  but what about the guy in the Miata she just plowed through  Any vehicle which has to have a bar put under the front and rear bumpers to keep it from  quot monster trucking quot  over smaller cars is inherently not safe to others  no matter what you do One good thing I saw was that there was a guy in California that was charged and convicted of manslaughter for killing someone in an accident because he had a big SUV and a phone and went through a red light and killed someone  Finally a jury that did the right thing br br,2,Car Review Collection
 SUV s  SOB s and PMS great what a deadly combination  Now the old mad woman on the cell phone has something larger to hit her target w  I can t eescribe how angry i am w  these tanks going down the road just waiting to slam into my 1 off show truck  I wanted to see what this was all about so I test drove one  There wasn t one blind spot there were FIVE  I just can t see how anyone would want to drive one of these  I feel that if you are going to spend  40 000 on something why not buy some thing stylish and comfortable  i mean come on Cadillac offers night vision now how cool is that br br,2,Car Review Collection
 I bought this vehicle to have a safe vehicle to transport my three young children on the California freeways My excursion is a 2 wheel drive V10  I have had two major problems with this vehicle 1  The back end of the vehicle bounces from side to side whenever driving over a drain or small pothole in the road  I nearly lost control of the car driving on the 15 freeway at 55MPH  Ford has test driven the vehicle  acknowledged the problem and has refused to take the vehicle back  I think it is because they are nervous about receiving all of their vehicles back  Any 2 wheel drivers experiencing the same problem A test driver from the Dispute Settlement Board has driven the vehicle and another  quot like vehicle quot  and found the same problem  I am hoping that the board rules that Ford take the excursion back 2  All California excursions have a  quot flutter noise quot  that sounds like five holes in the exhaust  This information is in the auto s  quot Technical Service Bulletin quot  available at the dealer of purchase  Ford is aware of this problem and has no answer for it The dealer has informed us that this car really maintains control only when it is filled to capacity with adults and is towing a heavy load  They recommend lowering the tire pressure to below recommended levels  We have had and been extremely satisfied with the Ford Lynx  Sable  Explorer  Bronco and Expedition  I would not AT ALL recommend the excursion to anyone br br,2,Car Review Collection
 So it is the new fad for mothers to drive  Expeditions  Suburbans  Land Cruisers and now Excursions ok maybe it isnt a NEW fad  The Ford  quot Death Trap quot  Excursion is exactly how it sounds  It is a monster but is it really worth the extra  quot room quot  This thing is an incredible undertaking to drive  you must be constantly aware of everything around you  The truck barely fits within its allotted space  on the right side of the road  Built off of the frame of the F 250 truck  the Excursion has not particularly crash tested well either  I test drove one of these while helping a friend s family pick out a car  I must say that I cannot recommend it  No pickup  not that any is needed  and terrible turning radius  The extra insecurities are simply not worth its size  Whatever happened to the mini van  It s roomier  more comfortable  and more efficient  but it just doesnt seem to be in style anymore  Until then I believe every  quot soccer quot  mom feels its necessary to have a 4wd Expedition  Suburban  or Excursion  When driving the Excursion you will not be worried about your own safety  but those around you instead  Make sure you can handle the ridiculous size before you join in on the large SUV fad Oh yeah and good luck finding a parking spot br br,2,Car Review Collection
 Now I m no granola munchin  hippie but this beast of a car is a hazard to the environment and everyone else on the road  While it may be roomy  can easily fit 9 people  this means that the SUV must weigh 9 tons  The vehicle is over 7 feet tall and wider than most parking spaces  All of this excess means one thing  if you are involved in a accident with one of these you will probably be killed   It s like going up against a monster truck  Don t let Ford fool you either  these cars  SUV s in general  do not have any emissions standards so basically these things pollute as much a big rig  With the surge in the popularity of these things that means that the earth is becoming polluted at an even more alarming rate  So maybe the environment or the hazards to everyone else don t phase you  You have your mind set on one of these babies  Just check out the price and the gas mileage these things get  If you live in CT like me then the price of gas alone equals the price of the car in a few years if you drive at least 40 miles a day  All of these things means that this excess room is just costing everyone else including the owner  If it s room you want then get an RV or a van  Just not a stupid  ugly SUV br br,2,Car Review Collection
 I am going to start this off by telling you that I hate big cars  They guzzle gas like nobody s business  This one is in the 10 mpg range  They are a danger to anyone not in them on the road  and  despite their ludicrous size  they never have any room for their passengers  Ford s new Excursion is the worst of them all  This monstrosity is like something out of a horror film  When I see it on the road I expect it to start roaring and try to run me over  Seriously though  I feel like there is a genuine risk to my life when I am driving near an Excursion  and they are a horrible risk to the environment as well br br,2,Car Review Collection
  drive these cars I don t care how many damn children you have  or how many boats you tow daily  this not a  necessary  car for ANYONE these trucks are eyesores and harmful to the environment  i m so far from an being eco terrorist  but these machines are inefficient  gas guzzlers that make the air nasty to breathe  bigger  better  deadlier  these are not SAFE cars  the momentum that a truck of this size has will give a whole new meaning to  whiplash  indeed these are long  too  long and tall  dangerous  because regular cars can t see the road ahead of them  and even worse that people have no idea how to HANDLE these things  why are these machines classified as class  B  vehicles  like yugos  volvos or fiats the only thing that makes me madder than the cars are the morons who feel the need to drive them  soccer moms have traded their piece of cak mini vans  which i m actually starting to MISS sharing the road with  compared to these suvs  explorer owners trade in for the expedition and the excursion  it s an endless cycle of mechanical penis envy  yuppie materialism  and blind faith in  SAFETY excuse me  i ve got to go  i ve got gastanks to urinate into   where s my stepladder,2,Car Review Collection
 Our big search for a larger vehicle started when I found out I was expecting another child  At the time  I was driving an old Volkswagon Bug and I had two children already  We looked at quite a few brands  The only one I didn t feel comfortable with was Ford s  I had heard a lot of negative feedback on those cars  When we saw the Aerostar on the lot  my husband wanted it right then  It was clean and comfortable with a sporty look  I wanted to look a little more  I researched it online to make sure we were getting a good deal  We had looked at  drove  and researched over a dozen before thinking about narrowing down our options  When the dealer lowered his price to what I felt was an awesome deal  we decided to buy it  For not wanting a Ford to begin with  I would have to say that this vehicle has been one of the best we have owned  It is very dependable and comfortable  The air conditioning and heating works well  It even has a windshield wiper on the back window  That is something I never had on any of my previous vehicles  The engine works wonderful  Not a squeak or grind anywhere  Though it is compacted into a small place  I am sure it wouldn t be that hard to fix if something did go wrong  I don t know much about the specifics of the engine  but it will change from car to car  so the specifics aren t as important here as the quality  Recently  we took out the back seat and went shopping for a very large toolbox for my husband s work  I couldn t believe we fit it in there with one of the back seats still in  I guess we don t need a truck after all UPDATED 11 24 00 My mind definitely changed within the 6 months we have owned this vehicle  Within a month  the door started having trouble closing  In about a month after that  the screws started falling out of the door and the panel was loose  The latch to close the door started sticking also about a month ago  The front passenger door has some problems also  The panel started falling out there as well  Though I have a lot of children  we do no more wear and tear on this vehicle than a mini van should be able to stand up to since it is made to carry children  I don t feel we are overly hard on it  Yet  the van keeps falling apart at an unbelievable pace  I will stick with my gut instincts next time and stay away from Ford vehicles br br,4,Ford SUV and Van
 We bought a 97 Ford Ranger Extended Cab 4x4 because of its low price  And granted  it s a smooth ride  an attractive vehicle and the engine has started even on the coldest of mornings  But We live in the mountains and a four wheel drive vehicle is a must  After just two years  the hubs on our Ranger went out and cost us over  800 in repairs  The mechanic told us that Ford is notorious for these hub problems  a result of poor engineering of their shift on the fly 4x4 mechanism If you can live without a four wheel drive  then the low cost factor of the Ranger may outweigh this consideration  But if you re into off roading or just need to plow through winter snows  don t buy the Ranger 4x4 br br,4,Ford SUV and Van
 For generations the men in my family have insisted on purchasing Ford trucks  and usually buy the F 150 series  Sometimes the trucks where loaded with extras  but most of the time they bought just a plain unusual pickup truck with standard transmission  power brakes and power steering  and what they thought to be  a good solid engine and transmission True enough  when first purchased  these trucks looked great and were great to drive  The exterior was flawless  shiny  eye appealing  and had lots of showoff value  The performance during the first year of use was near perfect  And  of course  the owner was very proud to show off that new truck to his fellow hunters  fishermen  farmers  and offered everyone and their brother free rides But now  time has passed  and several years down the road and  lt 100 000 miles later  their tune has changed drastically  All the trucks have lost their luster  the paint is peeling off  numerous rust spots all over the cabs  roofs  and around the wheel covers  and the owners are frustrated and certainly don t have the money to have a new paint job  The standard transmissions all are failing miserably and the truck is often in the shop being repaired  The universal joints are going out  wrecking havoc in the life of the offshore worker who must be at work on time or face loosing a week s paycheck  But the most common problem that has appeared in EVERY Ford truck that they have own is the sudden stalling out in traffic  Push the gas pedal and the truck just stalls out and dies  rather than go forward  The trucks can NEVER be trusted to go into first gear and leap forward with any amount of speed safely My advice is to talk with long time Ford truck owners and way the pros and cons heavily before buying a truck that you expect to perform for many years to come br br,1,Car Ownership Experiences
 I thought it was odd that the front and back brakes as well as the rotors all went out before hitting 20K miles  Also  we had to call the CEO of our local dealer because their service center said that the factory warranty wouldn t cover the cost  The repair bill was  550 00 but the CEO saw it our way after much arguing  and we didn t have to pay it  I guess they didn t like us too much  because when we picked up the truck  there was bird poop all over the inside of the truck  and it had a flat tire  We owned a 1997 F 150 Offroad prior to this one  and like this truck  the window mechanism on the passenger side tends to go out early on  This truck has been in the shop 3 or 4 times since we ve had it  not quite 1 year old  just the deal with the brakes sucked  The radiator had to be replaced at 5K miles  and the transmission was leaking fluid like crazy too  It is a comfy truck with a lot of room  looks good  but the reason I won t buy another is simply because of the service  the crappy way we were treated,1,Car Ownership Experiences
 I was driving a 1987 Honda CRX that was about to die  and needed something quickly  so I hit a dealer specializing in used police cars  figuring I d get something inexpensive and interesting  I picked up a 1991 police package  formerly owned by the Connecticut state police  Since the car was only going to be driven a few hundred miles a week  price was the main concern When the car was running  it was a lot of fun  Good acceleration  lots of  quot luxury quot  features that the Honda didn t have  and interesting responses from other drivers  Unfortunately  the bad outweighed the good The police package was the only Crown Vic in 1991 with a carburetor  Not only was it a carburetor  but an engineering nightmare known as a variable venturi  The one I had was going bad  The local Ford dealer wouldn t touch it  saying that the best that they could do was replace it  at a cost of  1100  I did manage to find a mechanic who specialized in them and only charged  500 to rebuild the one I had  Eventually  all of the major systems on the car were replaced  one at a time  just to keep the car operating When it was running  the handling wasn t particularly good  the breaking was poor  and the ride was soft  I can t even imagine what a standard Crown Vic would drive like  The acceleration was awesome  but at less then 20 miles per gallon  stepping on the gas was an expensive proposition If you re looking for an inexpensive luxury car  don t stop off at the local used police car salesman  The sticker price isn t even close to what it will cost in the end br br,4,Ford SUV and Van
 I just bought a used 1996 Crown Victoria Police Interceptor and am not a very happy camper  I belong to a volunteer highway safety organization and was in the market for a new  used police car as my  93 Ford Taurus was on it s last legs  After spending several weeks searching all over trying to find a used Crown Vic police car to my liking and that did not break the bank I finally found one at a dealer located two hours away from my home  The dealer who specializes only in used police cars was highly recommended by a friend of mine who has bought three cars from him and has been very satisfied with the cars overall So  after two trips up to the dealer and looking at dozens of cars on the lot  I settled on a  96 Crown Vic police intercepter model with 95 000 miles on it and a rebuilt transmission  Part of the catch was the price which was several thousand dollars less than I thought I d end up paying  This car seemed perfect in every sense for what I wanted and needed  The only problem was that I wasn t able to test drive it on the road because it hadn t been properly prepped  So I was limited to driving it around in the parking lot of the dealership  It seemed fine in the lot  but the lot and a road are two different dimensions when it comes to testing a car s handling  You may say that I should ve known better  but I figured that a car with a police package was supposed to handle well Before making the final decision on the Crown Vic  the dealer suggested that I test drive a  95 Caprice police car he just prepped for a sale latter that day  He mentioned that the Caprices handle better than the Crown Vics  I took the Caprice for a spin and the handling seemed nice and the engine was amazing  But  I had my heart set on the Crown Vic I ve just always liked the look of it much better  and figured that there would be little difference in handling between the Caprice and the Crown Vic because after all  both cars had police packages  Boy  was I ever wrong  The day I picked up my Crown Vic it had been completely checked over and prepped by the dealer  I was eager to take it for a spin on the open road to see how it handled before handing over the check  To my surprise the steering seemed unusually oversensitive and the car seemed to ride very awkwardly around bends  The dealer reassured me that  that was typical of the Crown Vics and it was possible that the car just needed an alignment  I figured that I d just have to get used to the different handling  So  I handed over the check and drove home with the my new  used Crown Vic  A few days later  I took it in to my trusted local mechanic to have it looked over with special attention to the steering s oversensitivity problem and my mechanic said everything seemed to have checked out okay  He couldn t find anything really wrong with the vehicle that might cause steering or handling problems and he came to the same conclusion as the dealer   that Crown Vics were just built that way Well  now I feel kind of confused and upset because I had expected the Crown Vic  especially the police package  to handle much more nimbly overall  My  93 Ford Taurus with 140 000 miles on it  shot front shocks  a ball joint and tie rod about to go and power steering that gave out long ago still handled better for the most part than this Crown Vic  In a way I wish I had gotten the Caprice  but I didn t know better at the time My advise to anyone considering purchasing a used Crown Vic police car  or for that matter any used car  is to test drive it thoroughly and see if you can live with it s handling  I ll have to try to learn to live with the Crown Vic s handling unless I choose to sell it which I m not quite ready to do yet  The reason being that in the last 24 hours I found some useful forums and sites on the internet that discuss problems with the Crown Vic police packages and some suggestions on correcting them  So to end on a little bit of a positive note  there still may be hope for this Crown Vic and me  But  I don t have a lot of free time in my life to devote to fine tuning a car to ride decently that should have been built that way to begin with  I will be far more careful next time before jumping into a car purchase based mostly on my preconceived conceptions and test driving limited to the parking lot  p s  One owner of the same year and version of my car responded to a message for help I posted on a used police car bulletin board and he suggested having the alignment done by a mechanic that is familiar with the special needs of a police package vehicle  He said that having the alignment done properly on his Crown Vic improved the handling enough so that he decided to hang on to it  I will update this review as soon as I have the alignment done on my car in the next week or so br br,3,Ford Taurus Reviews
 The Crown Victoria is a breed that s siblings are dying fast  The only major competetors in it s category is the Lincoln Town Car and the Ill fated Chevrolet Caprice Classic  It s twin the Mercury Gran Marquis shares many of the same characteristics as the crown vic  Acceleration is very sluggish for a car of it s heft  The underpowered v 6 whines when the gas pedal is pushed  Where it lack s in perofrmance it is justified by the comfort and roominess  All ergonomics are well placed and simple  This car is designed for the grandma that hates  quot All Those Gadgets quot  It s forward bench seat is comfortable and squishy  But firm enough to support your grandma s Aching Hips  If you are still in your prime years I would stay away from this car unless you like the bulky fleet car look,4,Ford SUV and Van
 If you have a 1992 Ford Econoline van and bought the vehicle used as I did you will find that the dealer or the factory will not be of any assistance to you if you find that the paint on the horizontal surfaces is falling off  I purchased the vehicle in 1994 and within a year the paint started to delaminate from the body and even though there was a  secret recall   This is a factory related defect confirmed by internal service bulletin  93 8 4   quot Microchecking quot  sent to dealers in April 1993 and covered under your  quot Owner Dialog quot  program  to date nothing has been resolved  I have written numerous letters to no avail  All I can say is if you are looking at Ford products  caveat emptor,4,Ford SUV and Van
